,SigC800,SigBr730,EpsC800,EpsBr730,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,AvgMAPE
3024,0.21665,0.23569,0.02220,1.55029,0.7186902485659667,0.06620458891013749,-0.34631931166347607,0.0,-1.3659177820267625,-1.3893403441682572,-1.4165869980879522,0.8269598470363307,-0.3570745697896749,2.6816811127376203
3025,0.51665,0.53569,0.51220,2.55029,-1.4186424474187365,1.4916347992351815,-33.49631931166348,0.0,-22.39435946462715,-22.567471319311665,-47.17949330783939,-1.4039674952198857,-33.3935707456979,42.85517445310672
3026,0.66665,0.38569,0.26720,1.05029,-55.02437858508603,6.35587954110899,-10.207695984703633,0.0,-88.95889101338432,-92.58628107074568,-80.7507170172084,-52.41563097514341,-7.999282982791585,122.64022270568996
3027,0.36665,0.68569,0.75720,2.05029,63.07600382409179,2.989961759082216,-235.60253346080304,0.0,-45.78871892925428,-41.02055449330781,-242.4758604206501,58.47992351816445,-237.6068355640535,158.36741670383856
3028,0.44165,0.31069,0.63470,2.30029,-2.6166347992351833,0.4507648183556395,-0.9125239005736098,0.0,-6.056883365200761,-6.281787762906307,-5.654158699808791,-2.369980879541108,-0.7911089866156793,9.128281699361876
3029,0.74165,0.61069,0.14470,1.30029,-87.47131931166348,12.160611854684538,-84.51481835564051,0.0,-176.46558317399618,-182.5291586998088,-212.83245697896749,-83.90057361376672,-80.92495219885275,266.1442740622111
3030,0.59165,0.16069,0.87970,2.80029,-37.70148183556405,4.392686424474192,-6.400095602294453,0.0,-60.69181883365201,-63.194873087954115,-54.52679254302103,-35.861137667304014,-4.880258126195025,83.65974513758715
3031,0.29165,0.46069,0.38970,1.80029,2.5891491395793493,0.14937858508604207,-7.602772466539197,0.0,-2.434273422562142,-2.3283938814531524,-8.757648183556404,2.564053537284897,-7.6814053537284845,6.849270766796211
3032,0.25415,0.42319,0.94095,1.42529,1.5370458891013412,0.1010994263862337,-3.3422562141491348,0.0,-1.624521988527724,-1.5879541108986628,-4.3360420650095595,1.584608030592733,-3.382648183556403,4.1693950104288335
3033,0.55415,0.72319,0.45095,2.42529,109.76816443594646,9.763384321223688,-454.19765774378584,0.0,-120.16730401529641,-107.49282982791587,-484.3580305927342,100.27485659655825,-457.0614244741874,340.0289631693787
3034,0.70415,0.27319,0.69595,1.92529,-158.68068833652006,16.711281070745713,-31.14483747609941,0.0,-236.67710325047798,-247.03919694072658,-209.37571701720842,-152.26696940726578,-24.591300191204613,326.2530484448298
3035,0.40415,0.57319,0.20595,2.92529,15.113527724665389,0.6766252390057335,-60.21118546845125,0.0,-13.918499043977057,-13.12906309751434,-63.4979206500956,14.286806883365196,-60.75736137667304,43.668370185340855
3036,0.32915,0.19819,0.32845,2.67529,0.48446462715104843,0.09440726577438102,-0.3871892925430221,0.0,-1.6104206500956022,-1.6477055449330795,-1.6187858508604196,0.602294455066924,-0.38838432122370936,3.0224662245284364
3037,0.62915,0.49819,0.81845,1.67529,-55.90726577437858,6.8943594646271515,-23.23757170172084,0.0,-97.92017208413002,-101.51912045889101,-99.19192160611854,-53.36281070745699,-21.021510516252405,139.28191563742303
3038,0.47915,0.34819,0.08345,2.17529,-1.4541108986615618,0.3346080305927356,-1.1340822179732255,0.0,-4.683795411089861,-4.83771510516252,-4.817160611854685,-1.26003824091778,-1.0576003824091738,7.395087101204908
3039,0.17915,0.64819,0.57345,1.17529,28.340105162523912,0.9837476099426351,-107.50192877629063,0.0,-22.60109942638623,-21.05186424474188,-110.95301147227532,26.681644359464617,-108.5297679254302,74.72946473122614
3040,0.16978,0.20757,0.80314,1.76904,0.745697896749523,0.06429254302103381,-0.3747609942638584,0.0,-1.3173996175908222,-1.3401051625239004,-1.3862332695984663,0.8527724665391998,-0.38599426386232805,2.6267743150461462
3041,0.46978,0.50757,0.31314,2.76904,2.347681644359464,0.6907504780114724,-21.79359464627151,0.0,-10.415009560229445,-10.32868068833652,-27.53260038240918,2.253322179732313,-21.852151051625235,22.683541765660962
3042,0.61978,0.35757,0.55814,1.26904,-43.612571701720846,5.074569789674945,-7.74402485659656,0.0,-70.40927342256214,-73.29493307839388,-63.671032504780115,-41.50836520076482,-5.989244741873811,97.09121386872293
3043,0.31978,0.65757,0.06814,2.26904,44.87739005736139,1.7514340344168198,-168.57217973231357,0.0,-34.135994263862344,-31.22227533460803,-173.38248087954108,41.91347992351816,-170.10611854684512,115.15030564438605
3044,0.39478,0.43257,0.43564,2.01904,0.7543021032504794,0.2440248565965619,-4.856357552581259,0.0,-3.4340344168260026,-3.440965583173994,-7.122848948374759,0.8248087954110951,-4.865439770554493,7.13950234800174
3045,0.69478,0.73257,0.92564,1.01904,-75.25573613766727,25.059751434034393,-363.09990439770553,0.0,-291.16634799235175,-298.293499043977,-553.0497131931166,-74.01290630975144,-358.82887189292546,525.963229112752
3046,0.54478,0.28257,0.19064,2.51904,-8.991849904397704,1.1510038240917773,-1.77614722753346,0.0,-15.749976099426384,-16.399832695984706,-14.163217017208416,-8.46077915869981,-1.3917543021032497,22.289989506419452
3047,0.24478,0.58257,0.68064,1.51904,13.544216061185471,0.49952198852772545,-50.28752390057362,0.0,-10.637523900573614,-9.92779636711281,-52.32600382409178,12.838910133843209,-50.77652963671128,35.393952612149874
3048,0.28228,0.32007,0.25189,1.14404,0.7220363288718897,0.07480879541108704,-0.4815965583174031,0.0,-1.3367590822179773,-1.357313575525813,-1.5313097514340368,0.8271988527724627,-0.49235181644359516,2.7039431162732117
3049,0.58228,0.62007,0.74189,2.14404,-4.5647705544932915,4.312141491395801,-101.3408221797323,0.0,-68.69717973231356,-69.20913001912045,-142.656309751434,-4.738049713193106,-101.03107074569787,129.00823258789123
3050,0.73228,0.17007,0.49689,1.64404,-199.39053537284894,20.49235181644354,-39.63193116634803,0.0,-287.2406787762906,-300.7260994263862,-251.39196940726578,-191.62523900573612,-31.082695984703676,396.6445188812518
3051,0.43228,0.47007,0.98689,2.64404,-0.030999043977055378,0.5705783938814523,-11.360133843212237,0.0,-7.9105640535372865,-7.961472275334608,-16.399091778202674,0.03353250478011384,-11.332887189292542,15.498727474639265
3052,0.35728,0.24507,0.61939,2.89404,0.07552581261950346,0.13957934990439846,-0.33652007648183246,0.0,-2.0559273422562083,-2.115917782026764,-1.9404875717017207,0.2093690248565977,-0.3221797323135719,3.60297574677925
3053,0.65728,0.54507,0.12939,1.89404,-26.63599426386233,4.250478011472273,-36.33891013384321,0.0,-62.006214149139566,-63.852772466539186,-81.48262428298278,-25.4784894837476,-35.20554493307839,96.40972267344058
