,SigC800,SigBr730,EpsC800,EpsBr730,RCE1,RCE2,RCE3,AvgMAPE
1191,0.26104,0.64072,0.91966,2.76270,0.0,-20.848231357552564,-114.40391969407264,59.90174252870104
1192,0.29854,0.22822,0.49091,2.38770,0.0,1.5487571701720817,1.3087954110898659,0.658601287102199
1193,0.59854,0.52822,0.98091,1.38770,0.0,-6.351696940726575,-11.786472275334607,8.847159264688505
1194,0.74854,0.37822,0.24591,2.88770,0.0,-14.030353728489477,11.399856596558317,11.810428807374956
1195,0.44854,0.67822,0.73591,1.88770,0.0,-30.71940726577437,-159.09249521988528,83.89401074688824
1196,0.37354,0.30322,0.85841,1.63770,0.0,1.426147227533457,1.2624282982791544,0.5781682776118736
1197,0.67354,0.60322,0.36841,2.63770,0.0,-18.74617590822179,-58.19478967495219,34.82214108731255
1198,0.52354,0.15322,0.61341,1.13770,0.0,0.2736615678776315,2.022944550669216,0.7299514621601716
1199,0.22354,0.45322,0.12341,2.13770,0.0,0.3625717017208403,-4.430688336520079,2.3824642898137633
1200,0.20479,0.17197,0.95028,1.82520,0.0,1.557122370936899,1.2213193116634764,0.6253224105820312
1201,0.50479,0.47197,0.46028,2.82520,0.0,-1.1625239005736114,-7.374521988527725,4.395342548117678
1202,0.65479,0.32197,0.70528,1.32520,0.0,-6.4669933078393855,6.121414913957937,5.814536140360551
1203,0.35479,0.62197,0.21528,2.32520,0.0,-14.070506692160606,-80.64627151051624,42.1136136350734
1204,0.42979,0.39697,0.33778,2.07520,0.0,0.965344168260042,-0.33126195028680583,0.6188165184318966
1205,0.72979,0.69697,0.82778,1.07520,0.0,-55.59273422562139,-155.19598470363286,94.52149031996849
1206,0.57979,0.24697,0.09278,2.57520,0.0,0.3864722753346125,2.0867590822179785,0.7014865300059331
1207,0.27979,0.54697,0.58278,1.57520,0.0,-3.080903441682601,-22.565415869980882,11.840671484486448
1208,0.24229,0.35947,0.03153,1.20020,0.0,1.4208891013384304,0.7339866156787758,0.38836994568748723
1209,0.54229,0.65947,0.52153,2.20020,0.0,-26.261233269598485,-130.57815487571702,69.4949159347777
1210,0.69229,0.20947,0.27653,1.70020,0.0,-6.551673040152963,6.349904397705541,5.954115259051629
1211,0.39229,0.50947,0.76653,2.70020,0.0,-2.0009799235181616,-15.82086520076482,8.422260638586849
1212,0.31729,0.28447,0.64403,2.95020,0.0,1.5172084130019083,1.3121414913957887,0.6444389568867741
1213,0.61729,0.58447,0.15403,1.95020,0.0,-9.563575525812622,-41.263862332695986,23.04214991050638
1214,0.46729,0.43447,0.88903,2.45020,0.0,0.04063097514340045,-2.5296367112810714,1.728509097612365
1215,0.16729,0.73447,0.39903,1.45020,0.0,-65.45889101338435,-322.66013384321224,171.02235566135562
1216,0.16260,0.34541,0.91200,2.21582,0.0,1.4318833652007612,0.8350860420650095,0.3982292885578507
1217,0.46260,0.64541,0.42200,1.21582,0.0,-14.252629063097523,-79.67973231357554,41.79024181701874
1218,0.61260,0.19541,0.66700,2.71582,0.0,-3.1086998087954107,4.181285850860421,3.3248564123989794
1219,0.31260,0.49541,0.17700,1.71582,0.0,-0.6467495219885319,-9.634799235181648,5.107133238092998
1220,0.38760,0.27041,0.29950,1.96582,0.0,1.470124282982794,1.3381931166348036,0.6323091900537123
1221,0.68760,0.57041,0.78950,2.96582,0.0,-19.58723709369024,-32.03871892925429,24.050904214808227
1222,0.53760,0.42041,0.05450,1.46582,0.0,0.537045889101335,-0.881453154875721,0.7782209208771312
1223,0.23760,0.72041,0.54450,2.46582,0.0,-75.05975143403445,-366.62284894837484,194.5705660881638
1224,0.27510,0.15791,0.11575,2.84082,0.0,1.5544933078393859,1.2325525812619529,0.6288274228087101
1225,0.57510,0.45791,0.60575,1.84082,0.0,-2.3630736137667276,-2.6526529636711267,2.9691902650540336
1226,0.72510,0.30791,0.36075,2.34082,0.0,-12.257887189292537,11.015535372848948,10.769986479655302
1227,0.42510,0.60791,0.85075,1.34082,0.0,-8.582934990439778,-50.58518164435947,26.544179191637635
1228,0.35010,0.38291,0.72825,1.09082,0.0,1.2856118546845101,0.3699808795411094,0.47719228136122127
1229,0.65010,0.68291,0.23825,2.09082,0.0,-40.2485659655832,-178.99689292543022,97.11704601352697
1230,0.50010,0.23291,0.97325,1.59082,0.0,0.4507648183556395,1.9976099426386242,0.6315799118529215
1231,0.20010,0.53291,0.48325,2.59082,0.0,-3.229445506692161,-23.19543499043977,12.183549633141743
1232,0.21885,0.25166,0.57513,1.40332,0.0,1.5537762906309762,1.2652963671128132,0.642477534158786
1233,0.51885,0.55166,0.08513,2.40332,0.0,-4.941037284894838,-29.628346080305928,15.780883859155994
1234,0.66885,0.40166,0.82013,1.90332,0.0,-8.981118546845124,6.248565965583175,7.111562827594068
1235,0.36885,0.70166,0.33013,2.90332,0.0,-60.80783938814533,-300.164913957935,159.1023042872138
1236,0.44385,0.32666,0.20763,2.65332,0.0,1.2803537284894835,1.1780592734225626,0.4700230396560703
1237,0.74385,0.62666,0.69763,1.65332,0.0,-41.40057361376674,-54.31883365200764,44.361672648684966
1238,0.59385,0.17666,0.45263,2.15332,0.0,-1.5047801147227549,3.1829827915869977,2.105121041920158
1239,0.29385,0.47666,0.94263,1.15332,0.0,0.22084130019120615,-5.216539196940725,2.788624862168166
1240,0.25635,0.43916,0.39138,1.52832,0.0,0.770076481835566,-2.4225621414913947,1.4167510237631467
1241,0.55635,0.73916,0.88138,2.52832,0.0,-109.41921606118545,-514.6295411089866,274.8556684615697
1242,0.70635,0.28916,0.14638,1.02832,0.0,-5.617543021032504,5.663671128107073,5.198905671114349
1243,0.40635,0.58916,0.63638,2.02832,0.0,-7.972992351816446,-47.79710803059273,25.050247576042626
1244,0.33135,0.21416,0.75888,2.27832,0.0,1.5258126195028714,1.3073613766730399,0.6466472616737089
1245,0.63135,0.51416,0.26888,1.27832,0.0,-4.889435946462714,-8.655697896749523,6.785383461043016
1246,0.48135,0.36416,0.51388,2.77832,0.0,0.7435468451242806,0.8212237093690266,0.05207969331421589
1247,0.18135,0.66416,0.02388,1.77832,0.0,-23.16371892925431,-125.93499043977056,65.97804276900611
1248,0.17197,0.20479,0.37606,1.18457,0.0,1.5559273422562119,1.2282504780114747,0.6276962075549174
1249,0.47197,0.50479,0.86606,2.18457,0.0,-1.958173996175911,-12.59414435946463,7.021035579415688
1250,0.62197,0.35479,0.13106,1.68457,0.0,-1.0616634799235198,2.340344168260035,1.5257076800705658
1251,0.32197,0.65479,0.62106,2.68457,0.0,-25.785611854684525,-137.94407265774382,72.41023383523283
1252,0.39697,0.42979,0.98856,2.93457,0.0,0.47729445506692497,-2.7903919694072683,1.6242065537613355
1253,0.69697,0.72979,0.49856,1.93457,0.0,-87.74139579349897,-384.0893881453154,208.3090934235723
1254,0.54697,0.27979,0.74356,2.43457,0.0,-0.4600860420650055,2.589388145315488,1.3348850201758873
1255,0.24697,0.57979,0.25356,1.43457,0.0,-5.453011472275334,-35.42650573613767,18.513806037688653
1256,0.28447,0.31729,0.68231,1.80957,0.0,1.495936902485663,1.1326481835564064,0.5571559561446372
1257,0.58447,0.61729,0.19231,2.80957,0.0,-16.391730401529657,-80.87547801147228,43.35894492616137
1258,0.73447,0.16729,0.92731,1.30957,0.0,-28.413240917782048,26.982791586998076,25.584204019584167
1259,0.43447,0.46729,0.43731,2.30957,0.0,-0.26696940726577884,-6.254302103250479,3.473583542058195
1260,0.35947,0.24229,0.06981,2.05957,0.0,1.5360898661567859,1.309990439770553,0.6528513949687516
1261,0.65947,0.54229,0.55981,1.05957,0.0,-9.526051625239004,-10.785611854684515,9.988064101285367
1262,0.50947,0.39229,0.31481,2.55957,0.0,0.419455066921605,0.05855640535372957,0.43430013219232183
1263,0.20947,0.69229,0.80481,1.55957,0.0,-33.709369024856585,-175.69526768642444,92.4728453830834
1264,0.19072,0.41104,0.16169,2.49707,0.0,0.9744263862332692,-1.3248087954110914,1.0482452442336028
1265,0.49072,0.71104,0.65169,1.49707,0.0,-45.8484703632887,-227.3331739961759,120.55829665976349
1266,0.64072,0.26104,0.40669,2.99707,0.0,-3.7343451242829824,4.610616634799235,3.817715675104555
1267,0.34072,0.56104,0.89669,1.99707,0.0,-4.822394837476098,-31.57387667304015,16.554345925729802
1268,0.41572,0.18604,0.52919,1.74707,0.0,1.3738049713193092,1.3575525812619518,0.5929819588729383
1269,0.71572,0.48604,0.03919,2.74707,0.0,-5.209799235181644,-7.113288718929253,6.28403986916089
1270,0.56572,0.33604,0.77419,1.24707,0.0,-1.197418738049711,2.716061185468452,1.7535008198766198
1271,0.26572,0.63604,0.28419,2.24707,0.0,-17.11376673040154,-96.22896749521989,50.2825053264736
1272,0.22822,0.29854,0.83544,2.62207,0.0,1.525095602294455,1.239722753346083,0.6173638451821052
1273,0.52822,0.59854,0.34544,1.62207,0.0,-9.014818355640532,-47.89438336520075,25.60679038325084
1274,0.67822,0.44854,0.59044,2.12207,0.0,-9.229684512428303,2.9125239005736083,5.807596053250728
1275,0.37822,0.74854,0.10044,1.12207,0.0,-69.25669216061185,-340.2581261950287,180.4261323289795
1276,0.30322,0.37354,0.46794,1.37207,0.0,1.346558317399621,0.46223709369024796,0.46785803081788685
1277,0.60322,0.67354,0.95794,2.37207,0.0,-37.949330783938805,-166.7672084130019,90.74998185224672
1278,0.45322,0.22354,0.22294,1.87207,0.0,1.3188336520076482,1.4357074569789687,0.5992383754908718
1279,0.15322,0.52354,0.71294,2.87207,0.0,-2.815846080305926,-20.94603250478011,11.017053091942087
1280,0.15439,0.22471,0.86415,1.43066,0.0,1.5573613766730379,1.255497131931163,0.6400583867656495
1281,0.45439,0.52471,0.37415,2.43066,0.0,-2.8629063097514322,-19.341276290630976,10.353959542098467
1282,0.60439,0.37471,0.61915,1.93066,0.0,-2.7483269598470352,2.889555449330784,2.5942639856480656
1283,0.30439,0.67471,0.12915,2.93066,0.0,-38.22418738049715,-196.0616634799235,103.41506395610918
1284,0.37939,0.44971,0.49665,2.68066,0.0,0.21869024856596367,-4.618785850860425,2.5340291157629324
1285,0.67939,0.74971,0.98665,1.68066,0.0,-110.6644359464626,-493.79780114722746,266.5614078673473
1286,0.52939,0.29971,0.25165,2.18066,0.0,0.622370936902482,1.819550669216061,0.4706051057638551
1287,0.22939,0.59971,0.74165,1.18066,0.0,-6.782504780114726,-42.73083652007648,22.294988302123187
1288,0.26689,0.33721,0.19040,1.55566,0.0,1.467017208413003,0.9722753346080266,0.47427054045732087
1289,0.56689,0.63721,0.68040,2.55566,0.0,-21.52652963671128,-101.45578393881452,54.699087678469425
1290,0.71689,0.18721,0.43540,1.05566,0.0,-12.114005736137667,10.914913957934992,10.655835156539599
