,ratio,rndint,kernel,length_scale,nu,alpha,periodicity,mape,r2
155,0.05,222.0,ESS,1.0,-,-,1.0,0.0264787309229236,0.9660119081870032
156,0.05,294.0,RBF,1.0,-,-,-,0.0328505969048009,0.9469340853160604
157,0.05,294.0,Matern,1.0,1.5,-,-,0.0217270265168676,0.9858998594183777
158,0.05,294.0,RQ,1.0,-,1.0,-,0.0258002065045196,0.983785286297938
159,0.05,294.0,ESS,1.0,-,-,1.0,0.0333283909899394,0.944408455954891
160,0.05,725.0,RBF,1.0,-,-,-,0.0282819658302391,0.9569444132362972
161,0.05,725.0,Matern,1.0,1.5,-,-,0.0190653138093042,0.9854770462825518
162,0.05,725.0,RQ,1.0,-,1.0,-,0.0265478005001509,0.9808309667999408
163,0.05,725.0,ESS,1.0,-,-,1.0,0.9999999294915616,-16.622852319904787
164,0.05,582.0,RBF,1.0,-,-,-,0.0312822475998412,0.976172388404022
165,0.05,582.0,Matern,1.0,1.5,-,-,0.0170567119538949,0.9936163656171916
166,0.05,582.0,RQ,1.0,-,1.0,-,0.0235094877214509,0.9880140024055492
167,0.05,582.0,ESS,1.0,-,-,1.0,0.9992762319837624,-16.44861990150176
168,0.05,731.0,RBF,1.0,-,-,-,0.0320530543095967,0.9640207472289146
169,0.05,731.0,Matern,1.0,1.5,-,-,0.0166297712556346,0.9883633044083376
170,0.05,731.0,RQ,1.0,-,1.0,-,0.0185379475467097,0.9848565975420656
171,0.05,731.0,ESS,1.0,-,-,1.0,0.9916437101576692,-19.263068983931028
172,0.05,249.0,RBF,1.0,-,-,-,1.0,-16.504468002340897
173,0.05,249.0,Matern,1.0,1.5,-,-,0.0152210423664478,0.9946368507540432
174,0.05,249.0,RQ,1.0,-,1.0,-,0.0212294251689299,0.9881842768015426
175,0.05,249.0,ESS,1.0,-,-,1.0,0.984052130581552,-16.104892183588998
176,0.05,791.0,RBF,1.0,-,-,-,0.0277105585888424,0.9716024292807914
177,0.05,791.0,Matern,1.0,1.5,-,-,0.0186075478024829,0.9875706059428236
178,0.05,791.0,RQ,1.0,-,1.0,-,0.0288073052842297,0.9751697782704184
179,0.05,791.0,ESS,1.0,-,-,1.0,0.0277105415096077,0.971602465082994
180,0.05,35.0,RBF,1.0,-,-,-,0.0381759602215446,0.9511883797466816
181,0.05,35.0,Matern,1.0,1.5,-,-,0.0210991426622906,0.9818544398424612
182,0.05,35.0,RQ,1.0,-,1.0,-,0.0324323430012653,0.9724994745235046
183,0.05,35.0,ESS,1.0,-,-,1.0,0.9903233490518836,-14.723844035789304
184,0.05,180.0,RBF,1.0,-,-,-,0.0322182843006303,0.9652745834339372
185,0.05,180.0,Matern,1.0,1.5,-,-,0.0173037712510226,0.9901744608744648
186,0.05,180.0,RQ,1.0,-,1.0,-,0.0214474735447033,0.9866073546627576
187,0.05,180.0,ESS,1.0,-,-,1.0,0.0322171226059997,0.9652776921306236
188,0.05,510.0,RBF,1.0,-,-,-,0.0274707823409444,0.974963275373291
189,0.05,510.0,Matern,1.0,1.5,-,-,0.0176007316978952,0.9884348311072522
190,0.05,510.0,RQ,1.0,-,1.0,-,0.0232021947011582,0.9810155163716564
191,0.05,510.0,ESS,1.0,-,-,1.0,1.0,-19.36445125529209
192,0.05,593.0,RBF,1.0,-,-,-,0.0488452365319235,0.9215298581311108
193,0.05,593.0,Matern,1.0,1.5,-,-,0.0205699037124087,0.9864517224753168
194,0.05,593.0,RQ,1.0,-,1.0,-,0.0246300001501498,0.9842639430479836
195,0.05,593.0,ESS,1.0,-,-,1.0,0.0488451698181905,0.921530095223684
196,0.05,634.0,RBF,1.0,-,-,-,0.0295986771612356,0.9711675885715952
197,0.05,634.0,Matern,1.0,1.5,-,-,0.0194604373101945,0.9870867684734288
198,0.05,634.0,RQ,1.0,-,1.0,-,0.0269217363882629,0.97917710554989
199,0.05,634.0,ESS,1.0,-,-,1.0,0.0295986735664531,0.9711675971020188
200,0.1,678.0,RBF,1.0,-,-,-,0.031014326401488,0.9496145397572312
201,0.1,678.0,Matern,1.0,1.5,-,-,0.0203485197030753,0.9846896270169097
202,0.1,678.0,RQ,1.0,-,1.0,-,0.0254056213105641,0.9816752484266428
203,0.1,678.0,ESS,1.0,-,-,1.0,0.9902650384326872,-17.389042916532734
204,0.1,147.0,RBF,1.0,-,-,-,0.025867743965673,0.9792489890655568
205,0.1,147.0,Matern,1.0,1.5,-,-,0.0176018116414481,0.9916222327930712
206,0.1,147.0,RQ,1.0,-,1.0,-,0.0256903515893974,0.983362474512802
207,0.1,147.0,ESS,1.0,-,-,1.0,0.0258676981874795,0.9792490695787712
208,0.1,561.0,RBF,1.0,-,-,-,0.0295740761776613,0.9662744293284102
209,0.1,561.0,Matern,1.0,1.5,-,-,0.0198179095164501,0.9826994037079712
210,0.1,561.0,RQ,1.0,-,1.0,-,0.0272033359560668,0.977789835860434
211,0.1,561.0,ESS,1.0,-,-,1.0,0.9968372518669504,-15.706070143200671
212,0.1,237.0,RBF,1.0,-,-,-,0.0362817633142774,0.9567906032224542
213,0.1,237.0,Matern,1.0,1.5,-,-,0.0200667663938736,0.9863332621867388
214,0.1,237.0,RQ,1.0,-,1.0,-,0.0294210805715071,0.9788980491744854
215,0.1,237.0,ESS,1.0,-,-,1.0,1.0,-15.612337250506291
216,0.1,588.0,RBF,1.0,-,-,-,0.0333869346538038,0.9763713945782262
217,0.1,588.0,Matern,1.0,1.5,-,-,0.0190442507974876,0.9900903103799203
218,0.1,588.0,RQ,1.0,-,1.0,-,0.0260058476832704,0.9827440349695892
219,0.1,588.0,ESS,1.0,-,-,1.0,0.0717741881751211,0.8489210505379213
220,0.1,951.0,RBF,1.0,-,-,-,0.0307125262232317,0.9716579881377552
221,0.1,951.0,Matern,1.0,1.5,-,-,0.0176291447772517,0.992075924219832
222,0.1,951.0,RQ,1.0,-,1.0,-,0.0238295926887761,0.9863876193835958
223,0.1,951.0,ESS,1.0,-,-,1.0,0.0307124991632616,0.9716580494559004
224,0.1,490.0,RBF,1.0,-,-,-,0.0267704200260612,0.9712938892539084
225,0.1,490.0,Matern,1.0,1.5,-,-,0.0171966267102455,0.9886976839530374
226,0.1,490.0,RQ,1.0,-,1.0,-,0.0234727000266151,0.9829478296134362
227,0.1,490.0,ESS,1.0,-,-,1.0,0.999847218132092,-17.07106794126864
228,0.1,395.0,RBF,1.0,-,-,-,0.0321131336858598,0.9503090473861404
229,0.1,395.0,Matern,1.0,1.5,-,-,0.0204356150344404,0.9866174864824296
230,0.1,395.0,RQ,1.0,-,1.0,-,0.0266362355733606,0.98050718162424
231,0.1,395.0,ESS,1.0,-,-,1.0,0.032113127893584,0.950309071655216
232,0.1,877.0,RBF,1.0,-,-,-,0.0329762863147138,0.9770361022761191
233,0.1,877.0,Matern,1.0,1.5,-,-,0.018812839302326,0.993282548715264
234,0.1,877.0,RQ,1.0,-,1.0,-,0.0278633582652992,0.9869378074642072
235,0.1,877.0,ESS,1.0,-,-,1.0,0.0313632948397893,0.979290671018944
236,0.1,297.0,RBF,1.0,-,-,-,0.0296629755794183,0.97552025533438
