,Dens1SimMAPE,Dens2SimMAPE,RCE1MAPE,RCE2MAPE,SigC800,SigBr730,EpsC800,EpsBr730,Dens1PredMAPE,Dens1Pred,Dens2PredMAPE,Dens2Pred,Dens1Sim,Dens1SimErr,Dens2Sim,Dens2SimErr,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,RCE21,RCE22,RCE23,#
14,None,0.26380611839490953,None,101.551099532847,0.1004384871590784,0.4717873165342306,0.4986841958272301,2.445437036440804,None,None,11.65752570023838,1405.2099609375,1231.27,1.3,1255.18,1.2,None,None,None,None,None,None,None,None,None,0.0,-0.7057839388145323,0.0,maxR2-14
3,None,0.3210170838299534,None,101.65741849518906,0.1391105633887591,0.470960371408647,0.4710703693627426,2.4147344592569637,None,None,11.091074831768973,1398.0811767578125,1230.11,2.1,1254.46,2.1,None,None,None,None,None,None,None,None,None,0.0,-0.7079349904397747,0.0,maxR2-3
24,None,0.41001191895113875,None,101.71648458537894,0.08775364080633,0.4745981236435109,0.5425587988469701,2.394474515360848,None,None,7.2401420341676594,1349.6171875,1229.24,1.3,1253.34,2.2,None,None,None,None,None,None,None,None,None,0.0,-0.7091300191204619,0.0,minMAPE-4
27,None,0.26539531187921483,None,101.87005641987284,0.2776330165794519,0.4712911733658663,0.3159108132731976,2.8851832140682667,None,None,11.690979852627136,1405.6309814453125,1232.6,1.0,1255.16,0.79,None,None,None,None,None,None,None,None,None,0.0,-0.7122370936902529,0.0,minMAPE-7
26,None,0.2852602304330487,None,101.88186963791055,0.0944483630926938,0.4700218747320109,0.5653121049626915,2.544144103888349,None,None,13.317187267207986,1426.0968017578125,1230.72,0.71,1254.91,1.3,None,None,None,None,None,None,None,None,None,0.0,-0.7124760994263849,0.0,minMAPE-6
16,None,0.37902264600714997,None,102.03544147240449,0.1057588815777109,0.4734242312401734,0.3868132589841299,2.288572322413958,None,None,11.777714277289432,1406.7225341796875,1231.74,0.91,1253.73,1.3,None,None,None,None,None,None,None,None,None,0.0,-0.7155831739961759,0.0,maxR2-16
33,None,0.32896305125149783,None,102.14176043474625,0.1568416398004533,0.4728281355395199,0.4685389408436064,2.432647949300466,None,None,9.132062133740565,1373.427001953125,1232.24,0.72,1254.36,1.1,None,None,None,None,None,None,None,None,None,0.0,-0.7177342256214115,0.0,minMAPE-13
30,None,0.35200635677394226,None,102.20082652493645,0.1442713390966773,0.4721711177746328,0.4601651497900375,2.364313451058491,None,None,10.88844878265296,1395.5311279296875,1231.46,0.81,1254.07,1.5,None,None,None,None,None,None,None,None,None,0.0,-0.7189292543021055,0.0,minMAPE-10
18,None,0.4918553833929324,None,102.23626617905023,0.1860839644379778,0.4794922479404354,0.6460939170505344,2.467109988116892,None,None,11.030083324021652,1397.3135986328125,1227.6,1.4,1252.31,0.72,None,None,None,None,None,None,None,None,None,0.0,-0.7196462715105152,0.0,maxR2-18
19,None,0.2113627334127995,None,102.30714548727818,0.0817584185992653,0.4722694070859239,0.4875924579911647,2.378532498931679,None,None,11.100590205353596,1398.200927734375,1229.85,0.79,1255.84,1.1,None,None,None,None,None,None,None,None,None,0.0,-0.7210803059273413,0.0,maxR2-19
15,None,0.4433849821215675,None,102.30714548727818,0.1691240126137265,0.4723303104435312,0.5595899348860329,2.465238944145073,None,None,11.654276311705402,1405.1690673828125,1231.39,1.8,1252.92,1.2,None,None,None,None,None,None,None,None,None,0.0,-0.7210803059273413,0.0,maxR2-15
17,None,0.44417957886372017,None,102.30714548727852,0.187337264718623,0.4739149746151538,0.5256374890227428,2.4525635474043384,None,None,11.549684799612637,1403.852783203125,1230.69,1.5,1252.91,0.78,None,None,None,None,None,None,None,None,None,0.0,-0.7210803059273481,0.0,maxR2-17
10,None,0.359157727453316,None,102.4134644496199,0.1098233208604698,0.4768074941469878,0.5322729723050457,2.397521477683532,None,None,10.636781215857171,1392.3638916015625,1228.95,2.2,1253.98,0.83,None,None,None,None,None,None,None,None,None,0.0,-0.723231357552577,0.0,maxR2-10
34,None,0.4870878029400166,None,102.85055351702556,0.1413598623290647,0.4715318097876006,0.5081810147421175,2.438001779816138,None,None,8.15295832091776,1361.10498046875,1230.19,1.4,1252.37,1.3,None,None,None,None,None,None,None,None,None,0.0,-0.7320745697896721,0.0,minMAPE-14
0,None,0.2439411998410756,None,102.94505926132958,0.1984274444628849,0.4700418378090978,0.5361724742123698,2.5678521086797805,None,None,11.52689058154549,1403.56591796875,1231.94,1.0,1255.43,0.96,None,None,None,None,None,None,None,None,None,0.0,-0.7339866156787758,0.0,maxR2-0
20,None,0.40286054827174705,None,103.02775178759556,0.1110631919118252,0.4771649659524853,0.2074215311969319,2.0059467476205106,None,None,8.67429603694875,1367.666015625,1228.53,1.8,1253.43,1.1,None,None,None,None,None,None,None,None,None,0.0,-0.7356596558317406,0.0,minMAPE-0
35,None,0.5236392530790559,None,103.64203912557088,0.1728798250180514,0.4791098796510327,0.5182323190546154,2.444068693962047,None,None,8.349454180323798,1363.577880859375,1226.05,0.75,1251.91,1.6,None,None,None,None,None,None,None,None,None,0.0,-0.7480879541108976,0.0,minMAPE-15
8,None,0.37902264600714997,None,104.2208868094324,0.0472988617758524,0.4696960544717151,0.7658992626591005,2.4667675571101246,None,None,10.946423693881604,1396.2607421875,1230.75,1.8,1253.73,1.6,None,None,None,None,None,None,None,None,None,0.0,-0.7597992351816448,0.0,maxR2-8
5,None,0.2113627334127995,None,104.75248162114208,0.1310025523849148,0.4705184147644327,0.4519037905288434,2.4232543874107253,None,None,11.3385812413091,1401.196044921875,1230.2,0.8,1255.84,1.6,None,None,None,None,None,None,None,None,None,0.0,-0.7705544933078436,0.0,maxR2-5
22,None,0.6229638458482255,None,128.20171942654923,0.0839796427281017,0.0602560089931568,0.5333188147654068,2.4896452953040136,None,None,2.945798647323202,1295.5728759765625,1250.62,0.41,1266.34,0.79,None,None,None,None,None,None,None,None,None,0.0,-1.2449808795411097,0.0,minMAPE-2
