,ratio,rndint,degree,mape,r2
1758,0.2,986.0,9.0,0.0182927083134963,0.9842716522174698
1759,0.2,986.0,10.0,0.037325754785961944,0.916532295066586
1760,0.2,829.0,1.0,0.14329893690480108,0.5844359474434451
1761,0.2,829.0,2.0,0.06371361338253337,0.921075607570111
1762,0.2,829.0,3.0,0.03410597212447368,0.9756765016384827
1763,0.2,829.0,4.0,0.023767648881012696,0.9875026533617668
1764,0.2,829.0,5.0,0.016612693045310285,0.9930385843160431
1765,0.2,829.0,6.0,0.01340909834142502,0.9947327319836039
1766,0.2,829.0,7.0,0.012714646213215648,0.994331474984248
1767,0.2,829.0,8.0,0.012582553591211177,0.9945852768373313
1768,0.2,829.0,9.0,0.014177969144247475,0.9929273343977951
1769,0.2,829.0,10.0,0.02790237261346432,0.9471064654652818
1770,0.2,996.0,1.0,0.1482638279642193,0.5682531337184803
1771,0.2,996.0,2.0,0.06344315724966736,0.9165950597626104
1772,0.2,996.0,3.0,0.034347545839260016,0.9757183404833528
1773,0.2,996.0,4.0,0.02409777922975277,0.9869701744539608
1774,0.2,996.0,5.0,0.014965488166160898,0.9946504119916542
1775,0.2,996.0,6.0,0.01199922548831813,0.9962427818996107
1776,0.2,996.0,7.0,0.011518096252037058,0.9957912633867468
1777,0.2,996.0,8.0,0.012763737128546369,0.9939499974776617
1778,0.2,996.0,9.0,0.015962460090244886,0.9833068243904761
1779,0.2,996.0,10.0,0.028150294250267858,0.929646911114406
1780,0.2,272.0,1.0,0.14705054889204297,0.5790312010468073
1781,0.2,272.0,2.0,0.06750466977281025,0.9089332176466663
1782,0.2,272.0,3.0,0.034452914743201384,0.9757164890293155
1783,0.2,272.0,4.0,0.022586465361446543,0.9890732303403459
1784,0.2,272.0,5.0,0.015379546671008926,0.9945020676570918
1785,0.2,272.0,6.0,0.012673369287018501,0.9959306351174106
1786,0.2,272.0,7.0,0.0108083294383372,0.9967700045098363
1787,0.2,272.0,8.0,0.010943703157971562,0.9963658136146218
1788,0.2,272.0,9.0,0.014147082709333592,0.9922464103466996
1789,0.2,272.0,10.0,0.027856442443389168,0.9650921899758969
1790,0.2,759.0,1.0,0.15663205942564404,0.544250800472269
1791,0.2,759.0,2.0,0.0650171081013393,0.9177686105133682
1792,0.2,759.0,3.0,0.03432613586222063,0.9761161444922319
1793,0.2,759.0,4.0,0.02564972799202062,0.986734548430827
1794,0.2,759.0,5.0,0.01575792552604894,0.994089199305112
1795,0.2,759.0,6.0,0.013196620385029117,0.9951475324616842
1796,0.2,759.0,7.0,0.011732589713223327,0.9957813468222769
1797,0.2,759.0,8.0,0.013476766127145951,0.9940998065830665
1798,0.2,759.0,9.0,0.02378674527733912,0.9643969400362341
1799,0.2,759.0,10.0,0.035337206065868654,0.8469305132647211
1800,0.2,390.0,1.0,0.16297615476691857,0.519293309716429
1801,0.2,390.0,2.0,0.07070442959086658,0.9142787838321003
1802,0.2,390.0,3.0,0.034065796914959125,0.9781141221008338
1803,0.2,390.0,4.0,0.025177339486772064,0.9878864607071255
1804,0.2,390.0,5.0,0.01622775654703837,0.9945349398685546
1805,0.2,390.0,6.0,0.012940205053967159,0.9959106348491358
1806,0.2,390.0,7.0,0.012026073344090232,0.9953500405134594
1807,0.2,390.0,8.0,0.01177288769739958,0.996249625170584
1808,0.2,390.0,9.0,0.017889780286759673,0.9697134594181039
1809,0.2,390.0,10.0,0.03266405476377609,0.9459122615911667
1810,0.2,930.0,1.0,0.14977053082336655,0.559613372242157
1811,0.2,930.0,2.0,0.06292263640170796,0.9217484655579662
1812,0.2,930.0,3.0,0.030991263361608793,0.9799409130925811
1813,0.2,930.0,4.0,0.02321769651545961,0.9875606140455344
1814,0.2,930.0,5.0,0.016491468563205994,0.9932013607888968
1815,0.2,930.0,6.0,0.01310782807536956,0.9950783956613476
1816,0.2,930.0,7.0,0.010797813141211938,0.9961379170513998
1817,0.2,930.0,8.0,0.012850735682432156,0.9951105362044229
1818,0.2,930.0,9.0,0.014434145955086235,0.9937074526042668
1819,0.2,930.0,10.0,0.030275721337644928,0.9509689422309808
1820,0.2,633.0,1.0,0.15252258101221836,0.5134784310906237
1821,0.2,633.0,2.0,0.06675906939141424,0.9065576007282083
1822,0.2,633.0,3.0,0.03372556211302495,0.973857939028974
1823,0.2,633.0,4.0,0.024338280356076467,0.9864323824268966
1824,0.2,633.0,5.0,0.01578843786473643,0.9936899352483444
1825,0.2,633.0,6.0,0.012761095932900724,0.9951529245083828
1826,0.2,633.0,7.0,0.012210777275693694,0.9945889684159532
1827,0.2,633.0,8.0,0.012132907234619685,0.9947241865574502
1828,0.2,633.0,9.0,0.017747575237973177,0.9750714547572451
1829,0.2,633.0,10.0,0.03779734653765145,0.8002355589647201
1830,0.2,928.0,1.0,0.15356293216022396,0.582352590559435
1831,0.2,928.0,2.0,0.07125333918544298,0.906977856037972
1832,0.2,928.0,3.0,0.03229605446343368,0.9783107485265881
1833,0.2,928.0,4.0,0.024224034701810053,0.9881777044257425
1834,0.2,928.0,5.0,0.01588148101887756,0.9945761007027826
1835,0.2,928.0,6.0,0.011715202870750126,0.9966593755398617
1836,0.2,928.0,7.0,0.01136849064654705,0.9965698463199055
1837,0.2,928.0,8.0,0.01696378338486586,0.9899126414201748
1838,0.2,928.0,9.0,0.017075305874752006,0.9854398099972348
1839,0.2,928.0,10.0,0.03147318885920406,0.9393565663433951
1840,0.2,854.0,1.0,0.1467824781110865,0.5803160030277839
1841,0.2,854.0,2.0,0.06984255559891236,0.902469576593186
1842,0.2,854.0,3.0,0.03404823611999964,0.9761227738002821
1843,0.2,854.0,4.0,0.023718811302112442,0.9879514013655749
1844,0.2,854.0,5.0,0.016429915380090275,0.9936540711138878
1845,0.2,854.0,6.0,0.012608771739957603,0.9957422976238635
1846,0.2,854.0,7.0,0.01097325298243542,0.9962969741726733
1847,0.2,854.0,8.0,0.012429382198929686,0.9935754807306516
1848,0.2,854.0,9.0,0.01985997006818123,0.9609133462610813
1849,0.2,854.0,10.0,0.032991252641195644,0.8361106487047947
1850,0.2,554.0,1.0,0.14178540363173903,0.57534710489783
1851,0.2,554.0,2.0,0.06870170541268644,0.9046655605665255
1852,0.2,554.0,3.0,0.033523571947375166,0.9743067391201771
1853,0.2,554.0,4.0,0.02222856071374774,0.9865477919214893
1854,0.2,554.0,5.0,0.015142563534767712,0.9936043624301371
1855,0.2,554.0,6.0,0.012572228844084783,0.9952629369792193
1856,0.2,554.0,7.0,0.010984554958106787,0.9957028461132336
1857,0.2,554.0,8.0,0.011221236043695652,0.9959652334872545
1858,0.2,554.0,9.0,0.017296266388277727,0.9821518566804961
1859,0.2,554.0,10.0,0.025258209123431276,0.9436712717516573
1860,0.2,562.0,1.0,0.15124347192919949,0.5531324048017332
1861,0.2,562.0,2.0,0.06666501683089122,0.9114929366062446
1862,0.2,562.0,3.0,0.034190215097555744,0.9718057500328806
1863,0.2,562.0,4.0,0.024315655715342308,0.9844150191437065
1864,0.2,562.0,5.0,0.017957040571641686,0.9914092434116197
1865,0.2,562.0,6.0,0.014086762028326233,0.9940703038789677
1866,0.2,562.0,7.0,0.012237526771003952,0.995127645443695
1867,0.2,562.0,8.0,0.013545264500387936,0.993627702618035
1868,0.2,562.0,9.0,0.014918007516823886,0.9902761252201805
1869,0.2,562.0,10.0,0.02578154285288035,0.9636575954568688
1870,0.2,78.0,1.0,0.1425152151701618,0.5879080133740278
1871,0.2,78.0,2.0,0.0666975897982152,0.9126247114331292
1872,0.2,78.0,3.0,0.03182755183699667,0.9780786325776639
1873,0.2,78.0,4.0,0.023076264461464765,0.9887439457019265
1874,0.2,78.0,5.0,0.015137760469523006,0.9944329484863582
1875,0.2,78.0,6.0,0.012024502727487993,0.9961075418953617
1876,0.2,78.0,7.0,0.010468347055778425,0.996208170742416
1877,0.2,78.0,8.0,0.01092123982329973,0.9965100332531305
1878,0.2,78.0,9.0,0.01474475211706635,0.9923294537405155
1879,0.2,78.0,10.0,0.031354536389215,0.9386212473070297
1880,0.2,222.0,1.0,0.14898499088243,0.5988169832309912
1881,0.2,222.0,2.0,0.06543412227852317,0.9202050953762011
1882,0.2,222.0,3.0,0.03255518374034456,0.9789759817854211
1883,0.2,222.0,4.0,0.02567048249804689,0.9866936878563413
1884,0.2,222.0,5.0,0.015585805023123523,0.9944323106321366
1885,0.2,222.0,6.0,0.016733124993354644,0.9934411122076633
1886,0.2,222.0,7.0,0.014136734456635117,0.995048019526435
1887,0.2,222.0,8.0,0.013211591606653333,0.9954763513787953
1888,0.2,222.0,9.0,0.01628219899600187,0.9909892143529309
1889,0.2,222.0,10.0,0.033664540880622165,0.9079606117957816
1890,0.2,294.0,1.0,0.1510351212580559,0.5455273483392593
1891,0.2,294.0,2.0,0.06834287966309517,0.9104057250586892
1892,0.2,294.0,3.0,0.032176038265605965,0.9784539375529724
1893,0.2,294.0,4.0,0.024537867640634006,0.9867881216696226
1894,0.2,294.0,5.0,0.0161431380695575,0.993687404934109
1895,0.2,294.0,6.0,0.012330559635193758,0.9958337985984699
1896,0.2,294.0,7.0,0.01153280728471517,0.9958207698827412
1897,0.2,294.0,8.0,0.013384987983630628,0.9939917875717263
1898,0.2,294.0,9.0,0.018955731272321114,0.9868732816771788
1899,0.2,294.0,10.0,0.04847426133215828,0.6985671511971034
