,ratio,rndint,kernel,length_scale,nu,alpha,periodicity,mape,r2
182,0.05,35.0,RQ,1.0,-,1.0,-,0.0298886162884081,0.9751732771556432
183,0.05,35.0,ESS,1.0,-,-,1.0,0.9999999923819732,-15.338363082095448
184,0.05,180.0,RBF,1.0,-,-,-,0.0285930157724869,0.9683201563883348
185,0.05,180.0,Matern,1.0,1.5,-,-,0.0177370382308062,0.9863544049237783
186,0.05,180.0,RQ,1.0,-,1.0,-,0.0225056878894143,0.9809083633304546
187,0.05,180.0,ESS,1.0,-,-,1.0,0.028494970211606,0.9688721880601776
188,0.05,510.0,RBF,1.0,-,-,-,0.0211820147964159,0.9876694002034034
189,0.05,510.0,Matern,1.0,1.5,-,-,0.0140139114256642,0.9951786047391592
190,0.05,510.0,RQ,1.0,-,1.0,-,0.0208665076940363,0.9903315452097132
191,0.05,510.0,ESS,1.0,-,-,1.0,1.0,-17.04552346410251
192,0.05,593.0,RBF,1.0,-,-,-,0.0285024595659929,0.972320610014084
193,0.05,593.0,Matern,1.0,1.5,-,-,0.02119493498832,0.9875699467531536
194,0.05,593.0,RQ,1.0,-,1.0,-,0.0265999379126177,0.9783444687979372
195,0.05,593.0,ESS,1.0,-,-,1.0,0.0285024190602316,0.9723207037266078
196,0.05,634.0,RBF,1.0,-,-,-,0.0292431495470681,0.9435536082094242
197,0.05,634.0,Matern,1.0,1.5,-,-,0.023192350276169,0.9714837111208868
198,0.05,634.0,RQ,1.0,-,1.0,-,0.0259660690447848,0.9663089494850782
199,0.05,634.0,ESS,1.0,-,-,1.0,0.0292431556278749,0.943553563394126
200,0.1,678.0,RBF,1.0,-,-,-,0.0256952391282291,0.9784621877755636
201,0.1,678.0,Matern,1.0,1.5,-,-,0.0170051566959153,0.992410622754734
202,0.1,678.0,RQ,1.0,-,1.0,-,0.0244693454038118,0.9857099056152404
203,0.1,678.0,ESS,1.0,-,-,1.0,0.9911207182700442,-16.35219547194507
204,0.1,147.0,RBF,1.0,-,-,-,0.0263193597116037,0.9837217617028664
205,0.1,147.0,Matern,1.0,1.5,-,-,0.0171448819258137,0.9935939299263734
206,0.1,147.0,RQ,1.0,-,1.0,-,0.027554279879936,0.9855292546611693
207,0.1,147.0,ESS,1.0,-,-,1.0,0.0263193098507299,0.9837218264922748
208,0.1,561.0,RBF,1.0,-,-,-,0.0314190192800541,0.967802964839074
209,0.1,561.0,Matern,1.0,1.5,-,-,0.0204516802165175,0.9850832675329242
210,0.1,561.0,RQ,1.0,-,1.0,-,0.0278573942351259,0.9811387479711342
211,0.1,561.0,ESS,1.0,-,-,1.0,1.0004124327178272,-14.570170309148388
212,0.1,237.0,RBF,1.0,-,-,-,0.0272871120387942,0.9704351993205668
213,0.1,237.0,Matern,1.0,1.5,-,-,0.0194887100084037,0.98854661904803
214,0.1,237.0,RQ,1.0,-,1.0,-,0.0288493135715224,0.9806219739481962
215,0.1,237.0,ESS,1.0,-,-,1.0,1.0,-15.706416670548002
216,0.1,588.0,RBF,1.0,-,-,-,0.0294034397117563,0.9820753309447636
217,0.1,588.0,Matern,1.0,1.5,-,-,0.0186537130674423,0.9919044149534127
218,0.1,588.0,RQ,1.0,-,1.0,-,0.0234374509941403,0.987161346268842
219,0.1,588.0,ESS,1.0,-,-,1.0,0.0517165787204159,0.9319915734779044
220,0.1,951.0,RBF,1.0,-,-,-,0.0220436238230342,0.9838643642040958
221,0.1,951.0,Matern,1.0,1.5,-,-,0.0159844352650561,0.992188877890123
